Species,Ensembl ID,Gene symbol
Homo sapiens,ENSG00000259494,MRPL46
Homo sapiens,ENSG00000164111,ANXA5
Homo sapiens,ENSG00000262202,AC007952.4
Homo sapiens,ENSG00000171533,MAP6
Homo sapiens,ENSG00000287813,AC016705.3
Homo sapiens,ENSG00000271425,NBPF10
Homo sapiens,ENSG00000204832,ST8SIA6-AS1
Homo sapiens,ENSG00000101017,CD40
Homo sapiens,ENSG00000120915,EPHX2
Homo sapiens,ENSG00000236497,LINC01744
Homo sapiens,ENSG00000261316,LINC01834
Homo sapiens,ENSG00000165553,NGB
Homo sapiens,ENSG00000204261,PSMB8-AS1
Homo sapiens,ENSG00000203618,GP1BB
Homo sapiens,ENSG00000164252,AGGF1
Homo sapiens,ENSG00000171467,ZNF318
Homo sapiens,ENSG00000286224,AP000471.1
Homo sapiens,ENSG00000184564,SLITRK6
Homo sapiens,ENSG00000132801,ZSWIM3
Homo sapiens,ENSG00000287125,AC018695.9
Homo sapiens,ENSG00000223598,AL138733.1
Homo sapiens,ENSG00000136235,GPNMB
Homo sapiens,ENSG00000269894,AC018809.1
Homo sapiens,ENSG00000136327,NKX2-8
Homo sapiens,ENSG00000039987,BEST2
Homo sapiens,ENSG00000116688,MFN2
Homo sapiens,ENSG00000233718,MYCNOS
Homo sapiens,ENSG00000136541,ERMN
Homo sapiens,ENSG00000272145,NFYC-AS1
Homo sapiens,ENSG00000152082,MZT2B
Homo sapiens,ENSG00000121314,TAS2R8
Homo sapiens,ENSG00000228165,AL158147.1
Homo sapiens,ENSG00000235911,AC019055.1
Homo sapiens,ENSG00000250284,AC109439.2
Homo sapiens,ENSG00000104915,STX10
Homo sapiens,ENSG00000152439,ZNF773
Homo sapiens,ENSG00000287095,AF228727.1
Homo sapiens,ENSG00000287354,AL034351.4
Homo sapiens,ENSG00000251165,F11-AS1
Homo sapiens,ENSG00000110536,PTPMT1
Homo sapiens,ENSG00000170788,DYDC1
Homo sapiens,ENSG00000262873,AC127496.5
Homo sapiens,ENSG00000227278,AL603839.1
Homo sapiens,ENSG00000170935,NCBP2L
Homo sapiens,ENSG00000175183,CSRP2
Homo sapiens,ENSG00000180210,F2
Homo sapiens,ENSG00000260457,AC027458.1
Homo sapiens,ENSG00000236709,DAPK1-IT1
Homo sapiens,ENSG00000286333,AC004828.2
Homo sapiens,ENSG00000163637,PRICKLE2
Homo sapiens,ENSG00000243491,AC082651.3
Homo sapiens,ENSG00000179041,RRS1
Homo sapiens,ENSG00000261701,HPR
Homo sapiens,ENSG00000175229,GAL3ST3
Homo sapiens,ENSG00000100292,HMOX1
Homo sapiens,ENSG00000175318,GRAMD2A
Homo sapiens,ENSG00000010244,ZNF207
Homo sapiens,ENSG00000184408,KCND2
Homo sapiens,ENSG00000181467,RAP2B
Homo sapiens,ENSG00000267543,AC015802.3
Homo sapiens,ENSG00000253824,AP003472.1
Homo sapiens,ENSG00000264699,LINC01912
Homo sapiens,ENSG00000256577,AC007406.4
Homo sapiens,ENSG00000132792,CTNNBL1
Homo sapiens,ENSG00000115165,CYTIP
Homo sapiens,ENSG00000183760,ACP7
Homo sapiens,ENSG00000256362,LINC02375
Homo sapiens,ENSG00000229301,AC006455.4
Homo sapiens,ENSG00000184785,SMIM10
Homo sapiens,ENSG00000273384,AL137796.1
Homo sapiens,ENSG00000116791,CRYZ
Homo sapiens,ENSG00000249515,LINC02113
Homo sapiens,ENSG00000151079,KCNA6
Homo sapiens,ENSG00000196739,COL27A1
Homo sapiens,ENSG00000109101,FOXN1
Homo sapiens,ENSG00000163914,RHO
Homo sapiens,ENSG00000277639,AC007906.2
Homo sapiens,ENSG00000166823,MESP1
Homo sapiens,ENSG00000115423,DNAH6
Homo sapiens,ENSG00000228240,TTTY17A
Homo sapiens,ENSG00000230286,AC013472.2
Homo sapiens,ENSG00000144792,ZNF660
Homo sapiens,ENSG00000196345,ZKSCAN7
Homo sapiens,ENSG00000211584,SLC48A1
Homo sapiens,ENSG00000140471,LINS1
Homo sapiens,ENSG00000286728,AC009236.2
Homo sapiens,ENSG00000163743,RCHY1
Homo sapiens,ENSG00000261888,AC144831.1
Homo sapiens,ENSG00000092964,DPYSL2
Homo sapiens,ENSG00000259551,AC048382.4
Homo sapiens,ENSG00000254122,PCDHGB7
Homo sapiens,ENSG00000168214,RBPJ
Homo sapiens,ENSG00000277873,AC131159.2
Homo sapiens,ENSG00000282033,AC074387.1
Homo sapiens,ENSG00000113389,NPR3
Homo sapiens,ENSG00000241669,LINC01327
Homo sapiens,ENSG00000286700,AC108075.1
Homo sapiens,ENSG00000260773,AC055855.1
Homo sapiens,ENSG00000237419,AL954642.1
Homo sapiens,ENSG00000243550,LINC01214
Homo sapiens,ENSG00000214772,AC010168.1
Homo sapiens,ENSG00000116691,MIIP
Homo sapiens,ENSG00000125967,NECAB3
Homo sapiens,ENSG00000233571,AL592043.1
Homo sapiens,ENSG00000260455,NBAT1
Homo sapiens,ENSG00000088881,EBF4
Homo sapiens,ENSG00000145730,PAM
Homo sapiens,ENSG00000124207,CSE1L
Homo sapiens,ENSG00000214530,STARD10
Homo sapiens,ENSG00000171867,PRNP
Homo sapiens,ENSG00000197937,ZNF347
Homo sapiens,ENSG00000178772,CPN2
Homo sapiens,ENSG00000271825,AC019080.4
Homo sapiens,ENSG00000179168,GGN
Homo sapiens,ENSG00000229983,AL606468.1
Homo sapiens,ENSG00000258701,LINC00638
Homo sapiens,ENSG00000160051,IQCC
